video_id,gloss,source_video,frames
1,hello you how?,1 hello you how 2 .MOV,102
2,Home welcome,2 Home welcome.MOV,114
3,family big,3 family big .MOV,99
4,mother food cook,4 mother food cook  - Copy.MOV,147
5,boy short,5 boy short .MOV,177
6,girl hungry,6 girl hungry .MOV,189
7,marraige today,7 marraige today .MOV,123
8,aunty plants water,8 aunty plants water  (2).MOV,222
9,uncle fruits get,9 uncle friuts get .MOV,165
10,grandfather sick,10 granfather sick .MOV,123
11,grand mother market go,11 grand mother market go .MOV,219
12,grandmother market go will,12 grandmother market go will .MOV,189
13,before grand mother market go finish,13 before grand mother market go finish .MOV,210
14,baby cute,14 baby cute .MOV,135
15,both just seperate,15 both just seperate .MOV,165
16,they apply divorce,16 they apply divorce .MOV,204
17,we place see go  which,17 we place see go which .MOV,201
18,i home reach very late,18 i home reach very late .MOV,186
19,this work my not,19 this work my not .MOV,156
20,this day i inform you,20 this day i inform you .MOV,144
21,we night go out,21 we night go out .MOV,153
22,we this week holiday,22 we this week holiday .MOV,174
23,christmas month celebration,23 christmas month celebration .MOV,204
24,this year  feb 29 date leap not,24 this year  feb 29 date leap not .MOV,261
25,raju first come tanu after,25 raju first come tanu after.MOV,270
26,first him eat after i eat,26 first him eat after i eat .MOV,240
28,you work finish,28 you work finish .MOV,159
29,furnac machine near temperature hot,29 furnac machine near teamrature hot .MOV,315
30,hot very here,30 hot very here .MOV,153
31,food taste good,31 food taste good .MOV,138
32,it cold coffee,32 it cold coffee .MOV,153
33,pune cold,33 pune cold .MOV,138
34,pizza food healthy not,34 pizza food healthy not .MOV,222
35,milk health good,35 milk health good .MOV,165
36,children milk drink like,36 children milk drink like .MOV,201
37,coffee hot,37 coffee hot .MOV,126
38,curd sweet,38 curd sweet .MOV,138
39,egg white,39 egg white .MOV,153
40,my bag color blue,40 my bag color blue .MOV,171
41,dress color green,41 dress color green .MOV,153
43,eyescolor black,43 eyescolor black .MOV,165
44,i black coffe like,44 i black coffe like .MOV,159
45,she money not,45 she money not .MOV,123
46,apple in vitamin-mineral have,46 apple in vitamin-mineral have .MOV,243
47,cheese topings good,47 cheese topings good .MOV,147
48,he drink more,48 he drink more .MOV,135
49,she live life like queen,49 she live life like queen .MOV,213
50,i fruit fork eat,50 i fruit fork eat .MOV,246
51,Cup color white light,51 Cup color white light .MOV,204
52,cereals protein have,52 cereals protein have  .MOV,309
53,water  cold,53 water cold .MOV,114
54,cookies stale,54 cookies stale .MOV,240
55,cookies fresh,55 cookies fresh .MOV,192
56,clothes old,56 clothes old.MOV,135
57,shirt white,57 shirt white .MOV,180
58,pants  old,58 pants  old .MOV,141
59,socks torn,59 socks torn .MOV,150
60,shoes dirty,60 shoes dirty .MOV,132
61,Health important,61 Health important .MOV,156
62,your hands wash,62 your hands wash .MOV,165
63,i her give ten rupees have,63 i her give ten rupees have  .MOV,228
64,Money american use dollars,64 Money american use dollars  .MOV,219
65,coins many too,65 coins many too .MOV,150
66,tickets cost  what,66  tickets cost  what .MOV,138
67,i paisa five have,67  i paisa five have  .MOV,177
68,there zoo in animals many,68 there zoo in animals many  .MOV,171
69,Cat  apet animal,69 Cat  apet animal .MOV,174
70,dog  pet animal,70 dog  pet animal .MOV,165
71,birds sky fly,71 birds sky fly  .MOV,267
72,i  bathroom go,72 i  bathroom go  .MOV,198
73,my teeth brush,73  my teeth brush .MOV,162
74,her  teeth  broke,74 her  teeth  broke .MOV,162
75,sleep well,75 sleep well .MOV,105
76,his hair  comb will,76 his hair  comb will .MOV,246
77,room in sun  light,77 room in sun  light .MOV,195
79,your Teeth clean,79 your Teeth clean 2.MOV,144
80,floor clean,80 floor clean.MOV,246
81,this comb  wooden,81 this comb  wooden.MOV,168
